review_id,hotel_id,reviewer_name,rating,review_text,source,created_at
R1,HOTEL_001,Rahul,5,"Great stay, rooms were very clean and staff was polite. I paid 6000 per night",internal,2025-05-07T09:00:54.831529
R2,HOTEL_001,Neha,3,"Hotel was okay, nothing special. Worst service, staff is stupid",booking,2025-05-10T09:00:54.831529
R3,HOTEL_001,Rohit,2,"Bad experience, too much noise at night",internal,2025-08-02T09:00:54.831529
R4,HOTEL_001,Neha,3,"Hotel was okay, nothing special. Price is too high for this hotel. Call me at 9876543210",booking,2025-05-09T09:00:54.831529
R5,HOTEL_001,Rohit,3,"Hotel was okay, nothing special. Tariff was 5200 INR. Check www.fakehotel.com",booking,2025-03-23T09:00:54.831529
R6,HOTEL_001,Sneha,4,Excellent hotel with prime location and good amenities. Call me at 9876543210,google,2025-04-29T09:00:54.831529
R7,HOTEL_001,Rahul,4,"Great stay, rooms were very clean and staff was polite. Price is too high for this hotel. Email me at test@gmail.com",booking,2025-03-14T09:00:54.831529
R8,HOTEL_001,Nikhil,4,Excellent hotel with prime location and good amenities. More details at http://spamlink.com,booking,2026-01-01T09:00:54.831529
R9,HOTEL_001,Amit,3,"Average stay, decent location. Check www.fakehotel.com",booking,2026-01-30T09:00:54.831529
R10,HOTEL_001,Pooja,3,Stay was acceptable for one night. Call me at 9876543210,booking,2025-09-26T09:00:54.831529
R11,HOTEL_001,Arjun,4,Excellent hotel with prime location and good amenities,booking,2025-04-04T09:00:54.831529
R12,HOTEL_001,Sonal,3,"Okay experience, food was average. Tariff was 5200 INR. More details at http://spamlink.com",booking,2025-08-02T09:00:54.831529
R13,HOTEL_001,Ankit,2,"Food theek tha, nothing great. Call me at 9876543210",booking,2025-03-21T09:00:54.831529
R14,HOTEL_001,Sneha,5,Gym and pool were well maintained. Manager Ravi handled the issue,google,2026-01-14T09:00:54.831529
R15,HOTEL_001,Arjun,3,"Hotel was okay, nothing special",booking,2025-04-10T09:00:54.831529
R16,HOTEL_001,Amit,3,"Average stay, decent location. Tariff was 5200 INR",google,2025-06-21T09:00:54.831529
R17,HOTEL_001,Vikas,3,Stay was acceptable for one night,internal,2026-01-09T09:00:54.831529
R18,HOTEL_001,Nikhil,1,"Not worth it, rooms were smelly",google,2025-05-15T09:00:54.831529
R19,HOTEL_001,Priya,5,"Very comfortable rooms, will definitely visit again. Cost was ₹4500",internal,2025-08-02T09:00:54.831529
R20,HOTEL_001,Sneha,3,Room clean tha but staff thoda slow tha,google,2025-11-21T09:00:54.831529
R21,HOTEL_001,Pooja,5,"Amazing service, bathroom was spotless. Price is too high for this hotel",google,2025-06-02T09:00:54.831529
R22,HOTEL_001,Simran,3,"Hotel was okay, nothing special. Tariff was 5200 INR",google,2025-09-22T09:00:54.831529
R23,HOTEL_001,Amit,5,Excellent hotel with prime location and good amenities. Tariff was 5200 INR. Check www.fakehotel.com,booking,2025-11-07T09:00:54.831529
R24,HOTEL_001,Amit,2,"Food theek tha, nothing great",booking,2025-08-20T09:00:54.831529
R25,HOTEL_001,Rahul,4,Gym and pool were well maintained. More details at http://spamlink.com,booking,2025-04-10T09:00:54.831529
R26,HOTEL_001,Pooja,2,"Terrible hotel, bathroom smelled bad. Call me at 9876543210",booking,2025-08-20T09:00:54.831529
R27,HOTEL_001,Rohit,5,Loved the breakfast buffet and staff behavior. Price is too high for this hotel,google,2026-02-08T09:00:54.831529
R28,HOTEL_001,Ankit,1,AC was not working properly,booking,2025-02-26T09:00:54.831529
R29,HOTEL_001,Arjun,4,"Amazing service, bathroom was spotless",internal,2025-11-28T09:00:54.831529
R30,HOTEL_001,Nikhil,5,"Very comfortable rooms, will definitely visit again",internal,2025-06-08T09:00:54.831529
R31,HOTEL_001,Vikas,3,Rooms were fine but service was slow,booking,2025-02-21T09:00:54.831529
R32,HOTEL_001,Simran,5,Gym and pool were well maintained. Call me at 9876543210,google,2025-09-03T09:00:54.831529
R33,HOTEL_001,Nikhil,4,Gym and pool were well maintained. Contact: demo@yahoo.com,internal,2025-04-29T09:00:54.831529
R34,HOTEL_001,Ankit,5,Gym and pool were well maintained,booking,2025-10-02T09:00:54.831529
R35,HOTEL_001,Rohit,3,"Okay experience, food was average",google,2025-07-05T09:00:54.831529
R36,HOTEL_001,Neha,5,"Amazing service, bathroom was spotless. My number is 9123456789. Check www.fakehotel.com",booking,2025-10-09T09:00:54.831529
