review_id,hotel_id,rating,review_text,publish_decision,rejection_reasons,flags,tags,sentiment,summary,detected_signals,analyzed_at,model_name,prompt_version
R1,HOTEL_001,5,"Great stay, rooms were very clean and staff was polite. I paid 6000 per night",REJECT,['PRICE_MENTIONED'],[],"['SERVICE_STAFF', 'ROOM_QUALITY', 'PRICE_MENTIONED', 'CLEANLINESS']",SENTIMENT_POSITIVE,"Great stay, rooms were very clean and staff was polite. I paid 6000 per night","{'price': True, 'phone': False, 'email': False, 'link': False, 'abusive': False, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R2,HOTEL_001,3,"Hotel was okay, nothing special. Worst service, staff is stupid",REJECT,"['PRICE_MENTIONED', 'ABUSIVE_CONTENT']",[],"['SERVICE_STAFF', 'ABUSIVE_CONTENT', 'PRICE_MENTIONED']",SENTIMENT_NEGATIVE,"Hotel was okay, nothing special. Worst service, staff is stupid","{'price': True, 'phone': False, 'email': False, 'link': False, 'abusive': True, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R3,HOTEL_001,2,"Bad experience, too much noise at night",PUBLISH,[],[],['NOISE'],SENTIMENT_NEGATIVE,"Bad experience, too much noise at night","{'price': False, 'phone': False, 'email': False, 'link': False, 'abusive': False, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R4,HOTEL_001,3,"Hotel was okay, nothing special. Price is too high for this hotel. Call me at 9876543210",REJECT,['CONTACT_INFO_MENTIONED'],[],['CONTACT_INFO_MENTIONED'],SENTIMENT_NEUTRAL,"Hotel was okay, nothing special. Price is too high for this hotel. Call me at 9876543210","{'price': False, 'phone': True, 'email': False, 'link': False, 'abusive': False, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R5,HOTEL_001,3,"Hotel was okay, nothing special. Tariff was 5200 INR. Check www.fakehotel.com",REJECT,"['PRICE_MENTIONED', 'SPAM_OR_LINK']",[],"['CHECKIN_CHECKOUT', 'SPAM_SUSPECT', 'PRICE_MENTIONED']",SENTIMENT_NEUTRAL,"Hotel was okay, nothing special. Tariff was 5200 INR. Check www.fakehotel.com","{'price': True, 'phone': False, 'email': False, 'link': True, 'abusive': False, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R6,HOTEL_001,4,Excellent hotel with prime location and good amenities. Call me at 9876543210,REJECT,['CONTACT_INFO_MENTIONED'],[],"['LOCATION', 'CONTACT_INFO_MENTIONED']",SENTIMENT_POSITIVE,Excellent hotel with prime location and good amenities. Call me at 9876543210,"{'price': False, 'phone': True, 'email': False, 'link': False, 'abusive': False, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R7,HOTEL_001,4,"Great stay, rooms were very clean and staff was polite. Price is too high for this hotel. Email me at test@gmail.com",REJECT,['CONTACT_INFO_MENTIONED'],[],"['SERVICE_STAFF', 'ROOM_QUALITY', 'CONTACT_INFO_MENTIONED', 'CLEANLINESS']",SENTIMENT_POSITIVE,"Great stay, rooms were very clean and staff was polite. Price is too high for this hotel. Email me at test@gmail.com","{'price': False, 'phone': False, 'email': True, 'link': False, 'abusive': False, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R8,HOTEL_001,4,Excellent hotel with prime location and good amenities. More details at http://spamlink.com,REJECT,['SPAM_OR_LINK'],[],"['LOCATION', 'SPAM_SUSPECT']",SENTIMENT_POSITIVE,Excellent hotel with prime location and good amenities. More details at http://spamlink.com,"{'price': False, 'phone': False, 'email': False, 'link': True, 'abusive': False, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R9,HOTEL_001,3,"Average stay, decent location. Check www.fakehotel.com",REJECT,['SPAM_OR_LINK'],[],"['CHECKIN_CHECKOUT', 'LOCATION', 'SPAM_SUSPECT']",SENTIMENT_NEUTRAL,"Average stay, decent location. Check www.fakehotel.com","{'price': False, 'phone': False, 'email': False, 'link': True, 'abusive': False, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
R10,HOTEL_001,3,Stay was acceptable for one night. Call me at 9876543210,REJECT,['CONTACT_INFO_MENTIONED'],[],['CONTACT_INFO_MENTIONED'],SENTIMENT_NEUTRAL,Stay was acceptable for one night. Call me at 9876543210,"{'price': False, 'phone': True, 'email': False, 'link': False, 'abusive': False, 'owner': False}",2026-02-19T09:35:06.035282,mock-llm-v1,v1.0
